City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Yerkoy,TR,75.88,scattered clouds,39.6381,34.4672,Yerköy Öğretmenevi
372,Ugoofaaru,MV,81.48,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
381,Dongsheng,CN,76.55,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
382,Manzanillo,CU,86.2,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
386,High Level,CA,79.47,scattered clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
388,Sinnamary,GF,81.99,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
389,Kyaikkami,MM,81.16,light rain,16.08,97.5675,Happy Family Kyaikkami
392,Lianzhou,CN,77.4,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
396,Licheng,CN,84.13,light rain,23.2955,113.8284,Xincheng Tourism Industry
397,Parit Buntar,MY,80.58,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
401,Sakmara,RU,80.62,scattered clouds,51.9844,55.3338,
408,Felipe Carrillo Puerto,MX,85.57,overcast clouds,19.5833,-88.05,Hotel La Ceiba
409,Kulhudhuffushi,MV,82.85,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
414,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
416,Bud,US,87.22,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
418,Porbandar,IN,85.82,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
427,Hambantota,LK,80.08,overcast clouds,6.1241,81.1185,Bungalow 63
429,Auki,SB,75.36,light rain,-8.7676,160.7034,Auki Motel
433,Port Blair,IN,82.31,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
436,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
437,Malakal,SS,83.98,broken clouds,9.5334,31.6605,Nile Palace Hotel
441,Espinosa,BR,83.28,clear sky,-14.9261,-42.8192,Hotel Vilma
442,Severnyy,RU,82.44,broken clouds,50.677,36.5532,Full House North Mini-Hotel
