City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Acarau,BR,2021-06-13 16:57:07,-2.8856,-40.12,83.48,68,52,8.57
103,North Myrtle Beach,US,2021-06-13 16:57:08,33.816,-78.68,81.28,82,90,4.61
104,Gilroy,US,2021-06-13 16:57:05,37.0058,-121.5683,77.68,64,1,11.5
105,Stornoway,GB,2021-06-13 16:57:08,58.2093,-6.3865,55.92,88,40,10.36
106,Saint George,US,2021-06-13 16:57:09,37.1041,-113.5841,97.27,10,7,2.73
107,Bocas Del Toro,PA,2021-06-13 16:55:13,9.3333,-82.25,88.07,74,100,5.5
108,Te Anau,NZ,2021-06-13 16:57:09,-45.4167,167.7167,49.75,97,96,1.52
109,Ilulissat,GL,2021-06-13 16:57:10,69.2167,-51.1,35.29,94,100,3.51
110,Noumea,NC,2021-06-13 16:52:23,-22.2763,166.4572,71.01,99,70,4.21
111,Aasiaat,GL,2021-06-13 16:57:10,68.7098,-52.8699,35.37,86,100,6.2
112,Ballina,AU,2021-06-13 16:57:10,-28.8667,153.5667,48.94,91,58,0.0
113,Sinnamary,GF,2021-06-13 16:57:11,5.3833,-52.95,80.58,81,31,8.75
114,Port Alfred,ZA,2021-06-13 16:57:11,-33.5906,26.891,64.92,77,39,3.09
115,Tuensang,IN,2021-06-13 16:57:11,26.2833,94.8333,71.42,99,58,3.78
116,Tiksi,RU,2021-06-13 16:57:12,71.6872,128.8694,42.48,87,100,5.35
117,Mozirje,SI,2021-06-13 16:57:12,46.3394,14.9633,74.44,69,13,3.06
118,Chokurdakh,RU,2021-06-13 16:57:12,70.6333,147.9167,47.3,78,72,6.2
119,Chuy,UY,2021-06-13 16:57:13,-33.6971,-53.4616,67.17,59,0,7.07
120,Dingle,PH,2021-06-13 16:57:13,10.9995,122.6711,77.32,88,100,2.66
121,Lebu,CL,2021-06-13 16:57:13,-37.6167,-73.65,50.76,82,100,17.05
122,Nikolskoye,RU,2021-06-13 16:57:14,59.7035,30.7861,64.29,89,97,6.22
123,Ust-Koksa,RU,2021-06-13 16:57:14,50.2696,85.6108,42.37,90,48,3.15
124,Avarua,CK,2021-06-13 16:57:14,-21.2078,-159.775,71.65,73,100,8.05
125,Khatanga,RU,2021-06-13 16:57:15,71.9667,102.5,39.61,62,70,6.51
